time,flux
3312.8610039426944,1891.7832
3312.861235419647,1879.2322
3312.8614668965997,1902.6594
3312.8616983735524,1902.6995
3312.861929850504,1896.1815
3312.8621613274568,1891.347
3312.8623928044085,1897.4808
3312.8626242813607,1905.7219
3312.862855758313,1850.9446
3312.863087235265,1887.5608
3312.8633187122173,1891.8827
3312.863550189402,1899.0062
3312.8637816663545,1885.4181
3312.8640131433062,1877.9025
3312.864244620259,1865.0887
3312.8644760972106,1886.0005
3312.864707574163,1858.8246
3312.864939051115,1876.5797
3312.865170528067,1866.6451
3312.8654020050203,1882.7202
3312.865633481973,1851.8655
3312.8658649589247,1887.1696
3312.8660964358774,1910.1539
3312.866327912829,1890.7499
3312.8665593897817,1882.7068
3312.8667908667335,1880.4854
3312.8670223436857,1882.0999
3312.867253820638,1892.834
3312.86748529759,1909.2565
3312.8677167745423,1849.4592
3312.8679482514945,1887.8734
3312.8681797284466,1907.06
3312.8684112053984,1870.9772
3312.868642682351,1877.1368
3312.868874159303,1843.2089
3312.8691056362554,1894.7058
3312.869337113208,1872.3507
3312.8695685901607,1884.0986
3312.869800067113,1868.6492
3312.870031544065,1894.1945
3312.8702630210173,1865.7333
3312.8704944979695,1886.1316
3312.8707259749212,1844.1544
3312.870957451874,1886.1044
3312.8711889288256,1855.9253
3312.8714204057783,1886.3588
3312.87165188273,1885.5575
3312.871883359682,1890.3457
3312.8721148366344,1881.2163
3312.8723463135866,1876.6512
3312.872577790539,1850.9331
3312.8728092674905,1909.183
3312.873040744443,1831.2462
3312.873272221395,1844.1707
3312.873503698348,1861.8861
3312.873735175301,1830.8396
3312.873966652253,1814.8696
3312.874198129205,1835.2316
3312.8744296061573,1858.023
3312.8746610831095,1873.3383
3312.8748925600617,1841.09
3312.8751240370134,1897.8224
3312.875355513966,1860.4083
3312.875586990918,1855.3342
3312.8758184681033,1883.6926
3312.876049945055,1853.7638
3312.876281422007,1879.5498
3312.8765128989594,1891.0436
3312.8767443759116,1875.8303
3312.876975852864,1865.8375
3312.877207329816,1866.0886
3312.877438806768,1891.2628
3312.877670283721,1862.3707
3312.8779017606735,1835.3209
3312.878133237626,1869.8694
3312.878364714578,1906.2267
3312.8785961915305,1879.0925
3312.8788276684822,1878.5364
3312.8790591454344,1844.6199
3312.8792906223866,1852.3181
3312.879522099339,1889.5658
3312.879753576291,1872.9188
3312.879985053243,1875.7131
3312.8802165301954,1876.2452
3312.880448006914,1884.2063
3312.880679483866,1873.8602
3312.8809109608183,1856.7622
3312.8811424377704,1884.2399
3312.881373914722,1869.9164
3312.881605391675,1861.2683
3312.8818368686275,1863.5505
3312.88206834558,1840.0758
3312.882299822533,1888.8169
3312.8825312994845,1880.9515
