time,flux
1842.5084232666877,13546.317
1842.509812180143,13523.73
1842.511201093133,13536.611
1842.5125900065896,13522.18
1842.5139789200452,13520.721
1842.5153678335012,13546.364
1842.516756746957,13549.564
1842.5181456604128,13557.585
1842.5195345738694,13525.243
1842.520923487325,13514.601
1842.5223124007803,13550.674
1842.5237013142366,13554.379
1842.53064588105,13549.595
1842.5320347940408,13542.905
1842.5334237074967,13532.309
1842.5348126209517,13550.295
1842.536201534408,13541.5205
1842.5375904478647,13511.348
1842.5389793608542,13552.795
1842.54036827431,13515.777
1842.5417571877665,13547.617
1842.5431461012222,13577.161
1842.5445350142122,13512.068
1842.5459239276681,13561.035
1842.547312841124,13518.412
1842.5487017541147,13551.778
1842.5500906675707,13520.3955
1842.5514795810257,13522.858
1842.552868494016,13537.155
1842.5542574074723,13542.776
1842.5556463209282,13528.414
1842.558424147374,13543.117
1842.5598130603641,13520.907
1842.5612019738205,13533.969
1842.5625908872764,13511.183
1842.5639798002658,13534.393
1842.5653687137224,13550.025
1842.5667576267133,13528.466
1842.5681465401683,13546.133
1842.5695354531586,13522.454
1842.570924366615,13576.486
1842.5723132796052,13537.428
1842.5737021930609,13544.955
1842.5750911060509,13551.769
1842.576480019506,13548.911
1842.577868932497,13561.988
1842.5792578459534,13537.759
1842.5862024118355,13506.674
1842.5875913248256,13523.435
1842.5889802382812,13530.921
1842.5903691512722,13539.225
1842.5917580642622,13533.525
1842.5931469777174,13536.64
1842.5945358907074,13539.586
1842.5959248036984,13530.639
1842.597313717154,13565.481
1842.5987026301443,13540.694
1842.6000915431346,13550.137
1842.6014804565903,13558.644
1842.6028693695812,13554.857
1842.6042582825712,13512.485
1842.6056471955608,13528.356
1842.6070361090171,13531.001
1842.6084250220079,13530.438
1842.6098139349974,13511.396
1842.6112028479874,13545.301
1842.613980674434,13552.291
1842.6167585004146,13553.743
1842.618147413404,13536.718
1842.6195363263946,13521.063
1842.6209252398512,13546.347
1842.6223141528408,13577.563
1842.6237030658308,13521.23
1842.6250919788217,13535.76
1842.6264808918118,13511.206
1842.6306476307823,13563.861
1842.632036543773,13510.502
1842.6334254567632,13524.344
1842.6348143697526,13526.911
1842.6362032827428,13536.044
1842.6375921957335,13507.903
1842.6389811087238,13547.311
1842.6403700217131,13518.8955
1842.6417589347034,13505.516
1842.643147847694,13523.139
1842.6445367606843,13527.01
1842.6459256736744,13535.669
1842.6473145866644,13522.035
1842.6514813256358,13515.048
1842.6584258901207,13557.968
1842.6598148031107,13557.8955
1842.661203716101,13561.452
1842.6625926290917,13538.354
1842.6653704550713,13539.092
1842.6695371935768,13537.032
1842.670926106567,13523.969
1842.6723150190921,13534.174
1842.6737039320824,13525.052
1842.6750928450724,13523.627
1842.6764817580624,13565.458
1842.677870670587,13530.553
1842.6792595835777,13489.548
1842.680648496568,13514.688
1842.6820374090917,13506.605
1842.683426322082,13545.803
1842.6848152350726,13519.312
1842.6862041475972,13505.5205
1842.6875930605875,13570.649
1842.6889819735775,13515.454
1842.6903708861018,13537.854
1842.6917597990928,13516.902
1842.6931487120828,13541.819
1842.6945376246067,13511.009
1842.6959265375976,13530.522
1842.6973154501227,13526.167
1842.698704363112,13527.521
1842.7000932756366,13530.826
1842.7014821886273,13489.583
1842.702871101152,13536.3955
1842.7042600141422,13521.458
1842.7056489266665,13552.52
1842.707037839656,13511.074
1842.7098156651718,13527.617
1842.7112045776958,13518.241
1842.7167602287257,13529.718
1842.7181491412503,13500.644
1842.7195380542403,13495.469
1842.7209269667655,13512.626
1842.7223158797556,13536.491
1842.7237047922795,13519.042
1842.7250937048038,13533.367
1842.7264826177948,13511.04
1842.7278715303191,13537.241
1842.7292604428435,13525.701
1842.7306493558337,13519.978
1842.7320382683583,13511.862
1842.7334271808834,13525.811
1842.734816093408,13540.379
1842.7362050063973,13526.134
1842.7417606569616,13514.18
1842.7431495694868,13502.742
1842.7459273945356,13541.229
1842.7500941325748,13505.486
1842.7514830451,13544.381
1842.7528719576237,13522.244
1842.7542608701483,13533.472
1842.7556497826733,13543.644
1842.757038695198,13538.389
1842.7584276077223,13529.597
1842.7598165202467,13514.452
1842.761205433237,13521.15
1842.762594345762,13538.606
1842.7639832582865,13533.53
1842.7653721708102,13516.908
1842.7667610833355,13538.3545
1842.7681499958608,13532.327
1842.7695389083844,13533.705
1842.770927820909,13534.829
1842.7723167334334,13516.489
1842.7778723835313,13529.082
1842.779261295591,13556.625
1842.7806502081162,13536.408
1842.7834280331642,13539.964
1842.7848169456895,13532.919
1842.786205858214,13531.954
1842.7875947707385,13558.862
1842.7889836832628,13535.741
1842.7903725957867,13520.857
1842.791761507846,13504.866
1842.7931504203714,13501.433
1842.794539332895,13530.688
1842.7959282454196,13532.311
