time,flux
1955.7948451000236,1994.9432
1955.7962339853839,2004.3491
1955.7976228707444,2011.3378
1955.7990117561048,1998.0221
1955.800400641465,2003.999
1955.8017895268254,2005.0221
1955.8031784121858,2001.6707
1955.8045672974881,1997.9901
1955.8059561827895,1995.5875
1955.807345068149,2004.0806
1955.8087339534513,2003.4873
1955.8101228387536,2005.5734
1955.811511724056,1984.172
1955.8129006092997,1995.3076
1955.8142894946018,2003.2975
1955.8156783798458,2003.7739
1955.8170672651481,1997.5829
1955.8184561503926,1986.5615
1955.8198450356374,2001.6208
1955.8212339208812,1997.2678
1955.8226228061253,1997.0636
1955.8240116913694,1994.3739
1955.8267894617975,2000.9701
1955.8281783469833,1984.814
1955.8295672322274,1987.4498
1955.830956117413,2001.1548
1955.832345002599,2004.5505
1955.8337338877845,1995.1624
1955.8351227729704,2005.4132
1955.836511658098,2007.2897
1955.8379005432837,1999.04
1955.8392894284111,1993.7898
1955.840678313597,1995.7767
1955.8420671987246,2003.6497
1955.843456083852,2002.5155
1955.844844968979,1995.7661
1955.8462338541058,2013.0087
1955.847622739234,1993.3745
1955.8490116243624,2000.1403
1955.8504005094317,2000.1589
1955.851789394559,1998.4152
1955.8531782796285,1994.096
1955.854567164698,1989.1094
1955.8559560497672,2012.426
1955.8573449348366,2000.3196
1955.8587338199059,1999.0402
1955.8601227049753,2004.2106
1955.8615115900448,2006.7621
1955.862900475055,1990.6464
1955.8642893601236,2005.3417
1955.8656782451349,1994.0933
1955.867067130146,2001.6411
1955.868456015157,1993.9075
1955.8698449001683,2005.5038
1955.8712337851794,1994.1178
1955.8726226701906,1990.0648
1955.8740115552018,2011.8724
1955.8754004401546,1995.0537
1955.8767893251666,1995.4196
1955.87817821012,1992.598
1955.8795670951313,1994.3157
1955.8809559800843,2005.2961
1955.8823448650364,1992.2268
1955.8837337499886,2004.6758
1955.8851226349416,2003.3544
1955.8865115198364,1996.8597
1955.8879004047892,2002.413
1955.889289289742,1998.906
1955.8906781746368,2005.9215
1955.8920670595317,1994.9829
1955.8934559444845,1998.529
1955.8948448293793,1998.6028
1955.8962337142739,2007.436
1955.8976225991687,1996.5316
1955.8990114840635,1985.6406
1955.9004003689,1993.5117
1955.901789253794,2000.5352
1955.903178138688,2008.361
1955.9045670235246,2006.1362
1955.9059559083616,2006.9766
1955.9073447932572,2011.6779
1955.9087336780935,1997.3376
1955.9101225629302,2005.6583
1955.9115114477668,1996.7526
1955.9129003326032,2011.2405
1955.9142892173813,2012.8275
1955.915678102218,1989.7557
1955.9170669870546,1999.6084
1955.918455871833,2001.8843
1955.9198447566694,2003.0881
1955.921233641447,1990.0618
1955.9226225262246,1994.7373
1955.924011411003,2008.2755
1955.9254002957812,1992.1722
1955.9267891805594,2000.5194
1955.9281780653378,2001.0303
1955.9295669501162,1995.4637
1955.9309558348364,2002.9791
1955.9323447196145,1997.7587
1955.9337336043354,1994.5985
1955.9351224891143,2009.6666
1955.9365113738345,1992.3158
1955.9379002585545,1998.7396
1955.9392891432744,1996.9138
1955.940678027994,1984.4609
1955.9420669127135,2001.3436
1955.9434557974337,2008.3585
1955.9448446821536,1994.2112
1955.9462335668154,1997.2977
1955.9476224515356,2009.3872
1955.9490113361976,1995.1655
1955.9504002209176,1995.0223
1955.9517891055793,2001.8967
1955.9531779902413,1985.9089
1955.9545668749615,1986.3484
1955.9559557596235,2010.2861
1955.9573446442853,1997.576
1955.9587335288884,2003.8086
1955.9601224135495,2001.1206
1955.9615112982115,1983.8165
1955.962900182874,2001.8322
1955.9642890674781,1998.5955
1955.9656779521401,2004.5927
1955.967066836744,2005.485
1955.9684557213477,1997.4663
1955.9698446059513,2014.1346
1955.971233490613,2007.8481
1955.9726223752168,1983.6534
1955.9740112598206,2002.2261
1955.9754001444242,1989.7423
1955.9767890289695,1997.4794
1955.9781779135726,2003.609
1955.9795667981757,2003.633
1955.9809556827213,1991.0829
1955.9823445673248,1985.8607
1955.9837334518702,2000.8429
1955.985122336474,2015.1935
1955.9865112210196,2008.9147
1955.987900105565,1997.0221
1955.9892889901103,2013.3466
1955.9906778746558,1998.2992
1955.992066759202,1991.2223
1955.9934556437483,2004.7312
1955.9948445282937,2000.5709
1955.9962334127808,1997.5087
1955.9976222973257,2001.7706
1955.9990111818706,2007.05
1956.0004000663578,1998.8434
1956.0017889509031,1998.0383
1956.0031778353905,1984.5256
1956.0045667198779,1999.5831
1956.0059556043652,2004.2325
1956.0073444888524,2003.3842
1956.0087333733395,2010.9797
1956.0101222578269,2007.156
1956.0115111423142,2005.6617
1956.0129000268014,2007.8689
1956.0142889112888,1992.5568
1956.0156777957754,2000.5547
1956.0170666802037,2008.3744
1956.018455564691,1982.8768
1956.0198444491207,1996.4507
1956.0212333336085,1991.7822
1956.0226222180377,2004.0173
1956.0240111024668,2004.5648
1956.0253999868958,1993.2627
1956.0267888713831,2007.559
1956.028177755812,2006.5443
1956.0295666402412,1998.629
1956.0309555246704,2006.3818
1956.0323444090411,1999.4542
1956.03373329347,1996.189
1956.0351221778985,1997.8805
1956.036511062327,1999.964
1956.0378999466977,1999.1888
1956.0392888311267,1986.5433
1956.0406777154976,2009.0508
1956.0420665998686,2009.9603
1956.0434554842977,2006.5846
1956.0448443686685,1996.1057
1956.0462332530392,1996.6831
1956.0476221374101,1996.8943
1956.0490110217816,1995.3031
1956.0503999061532,2001.1509
1956.0517887905241,1991.7926
1956.0531776748949,1992.3434
1956.0545665592651,1994.3469
1956.0559554436354,2016.4968
1956.057344327948,2009.3344
1956.0587332123187,2001.1714
1956.0601220966896,1998.7607
1956.0615109810024,2004.4868
1956.0628998653149,2016.629
1956.0642887496858,2002.2789
1956.0656776339983,1988.6609
1956.067066518311,1993.3024
1956.068455402682,1999.5519
1956.0698442869946,2007.7986
1956.071233171307,1999.9946
1956.0726220556191,1997.836
1956.0740109399312,2013.6936
1956.0753998242437,2003.6746
1956.0767887084983,1998.664
1956.0781775928117,1997.6255
1956.079566477125,2008.648
1956.0809553614376,2001.0629
1956.082344245692,2002.9686
1956.0837331300045,1977.14
1956.085122014259,2011.3695
1956.0865108985718,2004.328
1956.087899782826,2009.0376
1956.0892886670806,1999.975
1956.090677551335,2010.1753
1956.092066435647,1993.859
1956.0934553199008,2001.2843
1956.0948442041552,1986.4225
1956.0962330884095,1996.1555
1956.097621972664,1998.9745
1956.0990108569185,2001.2885
1956.1003997411729,2006.7312
1956.1017886254274,2004.1343
1956.1031775096235,1989.5308
1956.104566393878,2001.3088
1956.105955278133,1995.6965
1956.10734416233,1992.1083
1956.1087330465843,1994.015
1956.1101219307807,1990.6113
1956.1115108150343,1992.574
1956.11289969923,2004.7621
1956.1142885834263,2000.1338
1956.1156774676806,2014.7369
1956.117066351877,2005.5436
1956.1184552360733,1990.3448
1956.1198441202694,2000.0046
1956.1212330044655,2001.4264
1956.1226218886618,1994.8722
1956.1240107728581,1997.945
1956.1253996570542,1989.201
1956.1267885412506,1995.3636
1956.1281774254467,1998.7676
1956.1295663096423,1996.8636
1956.1309551937798,1994.9934
1956.1323440779759,1984.3723
1956.133732962172,2001.1971
1956.1351218463108,1992.0435
1956.1365107305078,1986.2396
1956.137899614646,1992.02
1956.139288498842,2000.6162
1956.14067738298,2001.3728
1956.1420662671762,1997.0671
1956.1434551513144,2011.4238
1956.1448440354523,1995.5286
1956.1462329195901,1994.7986
1956.1476218037283,1994.3826
1956.1490106879237,1991.7192
1956.1503995720611,2014.5239
1956.1517884561993,2014.8431
1956.1531773403372,1995.5309
1956.1545662244753,2000.1874
1956.1559551085552,2014.4703
1956.157343992693,1999.1547
1956.158732876831,1994.0277
1956.160121760969,1998.4854
1956.1615106451072,2002.44
1956.1628995291871,2001.5048
1956.1642884133257,1989.495
1956.165677297406,1986.4325
1956.1670661815435,1989.4915
1956.1684550656228,2009.4415
1956.1698439497607,1988.2732
1956.1712328338403,1994.2894
1956.1726217179785,2006.2582
1956.1740106020584,1986.292
1956.1753994861383,2008.1814
1956.1767883702762,2007.5916
1956.178177254356,1995.7206
1956.1795661384358,1993.552
1956.1809550225157,2005.5577
1956.1823439065954,2003.6343
1956.183732790675,1992.4927
1956.185121674755,1997.3622
1956.186510558834,1993.1052
1956.1878994429132,1992.5597
1956.1892883269932,2008.3787
1956.1906772110729,1999.5941
1956.1920660951535,1999.9828
1956.1934549791758,2001.0054
1956.1948438632555,1998.0127
1956.1962327473352,2005.465
1956.197621631357,2000.1234
1956.1990105154368,1995.9412
1956.2003993994585,2004.2872
1956.2017882835382,2012.5853
1956.203177167618,1996.6831
1956.204566051639,1993.6718
1956.20595493566,1999.2708
1956.2073438197397,1977.045
1956.2087327037611,2009.6661
1956.2101215877829,2017.4811
1956.2115104718628,1998.0886
1956.2128993558845,2001.8553
1956.214288239906,1997.887
1956.2156771239274,2014.1976
1956.2170660079491,1992.0049
1956.2184548919709,2010.6399
1956.2198437759923,2009.7798
1956.221232660073,2010.8412
1956.2226215440369,2002.058
1956.224010428058,1992.7573
1956.225399312079,1999.3586
1956.2267881961004,2003.6439
1956.228177080122,2013.443
1956.2295659641436,2004.744
1956.2309548481653,1997.7852
1956.2323437321286,1998.1091
1956.23373261615,1993.0802
1956.2351215001718,2002.2158
1956.2365103841353,1982.8005
1956.237899268157,2003.9419
1956.2392881521785,2005.0669
1956.2406770361417,2012.1464
1956.2420659201628,2006.0902
1956.2434548041256,2002.8392
1956.244843688147,1987.6971
1956.2462325721103,2002.905
1956.2476214560738,1988.6454
1956.2490103400955,2002.0786
