time,flux
2769.904055760687,6517.9595
2769.9054447057456,6513.253
2769.906833650339,6525.6807
2769.9082225953975,6505.253
2769.909611540457,6532.2812
2769.9110004850504,6514.3267
2769.9123894301088,6505.1997
2769.913778374702,6539.3994
2769.915167319761,6526.3335
2769.9165562643543,6528.03
2769.917945209413,6523.9326
2769.9193341540067,6506.468
2769.9207230986,6519.0195
2769.922112043658,6506.938
2769.9235009882523,6506.48
2769.9248899328454,6532.5493
2769.926278877437,6538.5024
2769.9276678220303,6530.112
2769.9290567666235,6543.39
2769.9304457112166,6506.813
2769.9318346558102,6531.129
2769.9332236004034,6528.2427
2769.934612544996,6533.7344
2769.9360014891245,6518.957
2769.9373904337176,6543.4272
2769.9387793783103,6539.084
2769.9401683224382,6519.3457
2769.9415572670314,6533.209
2769.9429462116245,6541.615
2769.9443351557525,6523.16
2769.945724100345,6521.5767
2769.947113044473,6527.958
2769.948501988601,6537.132
2769.9498909331937,6525.2334
2769.9512798773208,6518.97
2769.952668821448,6516.0137
2769.9540577655753,6550.042
2769.9554467101684,6532.4443
2769.9568356542964,6524.2817
2769.9582245984234,6528.9126
2769.9596135425513,6534.7124
2769.9610024866793,6537.2725
2769.9623914308063,6520.2256
2769.963780374934,6545.3486
2769.965169318596,6502.7896
2769.9665582627244,6536.577
2769.9679472068515,6538.6855
2769.969336150979,6550.119
2769.9707250946412,6539.605
2769.9721140387687,6523.6216
2769.9735029824305,6527.416
2769.974891926558,6531.2886
2769.9762808702185,6523.043
2769.977669814346,6514.8438
2769.9790587580087,6534.5454
2769.9804477021357,6544.5107
2769.9818366457976,6533.9844
2769.98322558946,6552.402
2769.9846145331217,6522.6084
2769.986003476783,6530.429
2769.9873924209114,6536.925
2769.9887813645732,6528.08
2769.9901703082346,6550.83
2769.991559251897,6538.354
2769.992948195559,6526.68
2769.994337138755,6542.1343
2769.995726082417,6504.124
2769.9971150260785,6534.661
2769.99850396974,6527.883
2769.9998929134017,6527.827
2770.001281856598,6546.198
2770.0026708002592,6511.031
2770.004059743456,6523.083
2770.005448687118,6536.7417
2770.006837630314,6526.27
2770.008226573976,6525.263
2770.009615517172,6527.902
2770.011004460834,6547.074
2770.0123934040307,6532.111
2770.0137823472264,6534.032
2770.0151712904226,6506.821
2770.0165602336197,6528.177
2770.017949177281,6545.1
2770.019338120477,6532.7637
2770.020727063674,6529.195
2770.022116006869,6526.8447
2770.0235049500648,6534.403
2770.0248938932614,6524.2773
2770.0262828359923,6515.9624
2770.027671779188,6533.3726
2770.0290607223847,6536.74
2770.0304496655813,6542.195
2770.0318386083113,6525.837
2770.0332275515075,6536.7646
2770.0346164942384,6525.089
2770.0360054374346,6527.134
2770.037394380165,6517.55
2770.0387833233617,6532.343
2770.040172266092,6529.1396
2770.041561209288,6528.5757
2770.0429501520193,6521.3833
2770.04433909475,6522.874
2770.0457280379455,6527.0
2770.0471169806756,6515.1543
2770.0485059234056,6535.229
2770.049894866136,6550.43
2770.051283808867,6514.419
2770.0526727515976,6536.051
2770.0540616943276,6520.1304
2770.055450637059,6521.341
2770.0568395797895,6510.483
2770.0582285225196,6519.4985
2770.059617464785,6525.0063
2770.0610064075154,6544.175
2770.062395350246,6539.2935
2770.063784292977,6516.843
2770.065173235241,6518.983
2770.066562177972,6532.915
2770.0679511202375,6521.938
2770.0693400629675,6518.5107
2770.070729005232,6503.0264
2770.072117947962,6526.8125
2770.073506890227,6529.907
2770.0748958324916,6527.5635
2770.0762847752226,6517.6543
2770.077673717487,6519.5293
2770.0790626597523,6530.4575
2770.0804516020175,6537.6333
2770.081840544282,6513.0156
2770.0832294865468,6524.5034
2770.084618428812,6519.7373
2770.086007371078,6527.4995
2770.087396313342,6521.0845
2770.088785255607,6523.438
2770.0901741978723,6510.5107
2770.091563140137,6548.9355
2770.0929520819363,6518.975
2770.094341024201,6535.733
2770.0957299664647,6524.6675
2770.097118908264,6542.5957
2770.0985078505296,6510.699
2770.099896792794,6540.943
2770.101285734593,6540.907
2770.1026746768584,6526.7666
2770.1040636186576,6519.6807
2770.1054525604563,6534.9375
2770.106841502722,6532.7847
2770.1082304445213,6525.066
2770.10961938632,6540.2056
2770.1110083281196,6525.565
2770.112397270385,6499.739
2770.1137862121836,6518.143
2770.1151751539833,6531.8125
2770.1165640957825,6518.431
2770.1179530375816,6515.737
2770.1193419793804,6525.9575
2770.120730921179,6510.492
2770.122119862978,6538.107
2770.1235088043118,6519.825
2770.1248977461114,6524.9946
2770.12628668791,6522.2104
2770.1276756297098,6500.5864
2770.129064571043,6507.788
2770.1304535128425,6543.6973
2770.131842454642,6521.8843
2770.133231395975,6534.0854
2770.1346203377743,6520.6973
2770.1360092791087,6523.515
2770.1373982209075,6506.2915
2770.138787162241,6541.2183
2770.140176103575,6507.938
2770.1415650449085,6531.3677
2770.1429539867067,6521.839
2770.1443429280403,6530.664
2770.1457318693733,6519.423
2770.147120810707,6527.9224
2770.1485097520413,6525.84
2770.1498986933752,6522.4233
2770.151287635174,6525.9067
2770.152676576042,6529.942
2770.154065517376,6501.158
2770.1554544587093,6528.808
2770.156843400043,6529.813
2770.158232341377,6540.6665
2770.1596212827103,6528.8496
2770.1610102235777,6522.827
2770.162399164912,6529.5107
2770.1637881062456,6534.7964
2770.165177047113,6521.35
2770.166565988446,6501.6304
2770.167954929779,6521.6475
2770.169343870647,6511.023
2770.170732811981,6531.9453
2770.172121752849,6530.327
2770.1735106937163,6516.948
2770.1748996350507,6520.4395
2770.1762885759185,6518.1646
2770.177677516786,6533.669
2770.1790664576542,6514.204
2770.1804553989878,6511.802
2770.1818443398556,6544.655
2770.183233280724,6524.7417
2770.1846222215913,6495.771
2770.1860111624596,6511.387
2770.187400103328,6516.914
2770.1887890441953,6520.8906
2770.190177985063,6526.0444
2770.191566925931,6515.502
2770.192955866798,6538.441
2770.1943448072,6533.3735
2770.1957337480685,6529.168
2770.197122688936,6513.606
2770.198511629804,6502.689
2770.199900570207,6496.113
2770.2012895110743,6484.4
2770.2026784514765,6459.787
2770.2040673923448,6466.355
2770.205456332747,6458.866
2770.206845273615,6443.5713
2770.2082342140175,6439.0356
2770.209623154886,6425.4233
2770.211012095288,6423.2783
2770.21240103569,6424.5435
2770.2137899765585,6447.48
2770.2151789169598,6432.5884
2770.216567857361,6436.338
2770.217956797764,6428.507
2770.219345738166,6409.6465
2770.220734678568,6411.5986
2770.2221236189707,6435.7617
2770.223512559373,6431.6494
2770.224901499775,6410.751
2770.2262904401778,6406.2344
2770.22767938058,6412.0317
2770.2290683209817,6416.6978
2770.2304572613843,6419.9507
2770.231846201787,6415.539
2770.233235141723,6404.985
2770.2346240821257,6421.9053
2770.236013022528,6411.497
2770.2374019624644,6411.047
2770.238790902866,6424.698
2770.240179843268,6421.1226
2770.241568783204,6414.4253
2770.2429577236067,6401.417
2770.2443466635436,6405.28
2770.2457356034797,6395.0034
2770.2471245438824,6411.488
2770.2485134838184,6413.6587
2770.249902424221,6418.0933
2770.251291364158,6435.228
2770.252680304094,6446.181
2770.2540692440307,6450.7134
2770.255458184434,6444.293
2770.25684712437,6455.877
2770.2582360643064,6474.372
2770.2596250042434,6479.246
2770.26101394418,6472.988
2770.262402884116,6506.5234
2770.263791824053,6490.536
2770.265180763988,6500.7827
2770.2665697039247,6535.3237
2770.2679586433965,6527.141
2770.2693475833335,6523.692
2770.2707365232695,6522.54
2770.272125463206,6510.1675
2770.273514403143,6542.4224
2770.274903342614,6535.3613
2770.2762922825505,6536.178
2770.277681222022,6514.372
2770.2790701619583,6510.354
2770.2804591018944,6529.232
2770.281848041366,6542.37
2770.2832369813027,6526.94
2770.284625920773,6520.95
2770.2860148602444,6544.7583
2770.2874038001805,6535.444
2770.2887927396505,6525.508
2770.2901816795875,6529.3667
2770.2915706190583,6517.467
2770.2929595585288,6524.996
2770.2943484980005,6510.0444
2770.2957374374714,6507.0347
2770.2971263774075,6504.4053
2770.298515316879,6535.588
2770.2999042563497,6516.175
2770.3012931958206,6514.6035
2770.302682135292,6502.116
2770.3040710747623,6523.6855
2770.3054600142336,6525.6924
2770.306848953705,6512.796
2770.3082378927097,6524.2
2770.3096268321806,6524.401
2770.3110157716515,6510.6553
2770.3124047111214,6514.006
2770.3137936505923,6504.7583
2770.315182589598,6521.206
2770.3165715290684,6527.3965
2770.3179604685397,6523.2935
2770.3193494075454,6521.7427
2770.320738347016,6504.3047
2770.322127286021,6517.0986
2770.3235162254923,6514.29
2770.3249051644975,6532.325
2770.3262941039684,6492.9004
2770.327683042974,6511.5996
2770.3290719824454,6509.4844
2770.3304609214506,6516.8125
2770.331849860456,6527.031
2770.333238799927,6533.8726
2770.3346277389314,6506.1187
2770.3360166779357,6511.5063
2770.337405616942,6513.2324
2770.3387945564123,6517.937
2770.3401834954175,6516.334
2770.341572434423,6500.824
2770.3429613734284,6517.705
2770.3443503124336,6513.3022
2770.345739251439,6533.8125
2770.3471281904444,6526.3535
2770.348517129449,6525.88
2770.349906068455,6545.102
2770.3512950074605,6531.231
2770.3526839464653,6520.436
2770.3540728850053,6540.5176
2770.3554618240105,6527.7573
2770.3568507630157,6532.2437
2770.3582397020214,6512.014
2770.35962864056,6506.174
2770.3610175795643,6526.8296
2770.36240651857,6519.1494
2770.36379545711,6512.303
2770.3651843961147,6516.658
2770.3665733346547,6515.235
2770.3679622736595,6517.4175
2770.3693512121995,6522.9717
2770.370740151205,6509.001
2770.3721290897442,6497.356
2770.3735180287495,6506.84
2770.37490696729,6525.413
2770.376295905829,6516.573
2770.377684844834,6526.383
2770.379073783374,6520.9453
2770.380462721914,6520.6177
2770.381851660453,6537.967
2770.3832405994585,6516.9463
2770.3846295379967,6519.8267
2770.3860184765363,6538.4653
2770.3874074150767,6522.2256
2770.3887963536167,6519.8667
2770.390185292156,6511.3154
2770.3915742306954,6500.4736
2770.3929631692354,6513.615
2770.394352107775,6523.151
2770.3957410463145,6533.59
2770.3971299848545,6515.233
2770.398518923394,6518.0728
2770.399907861933,6496.8125
2770.4012968004736,6514.408
2770.4026857385475,6505.0825
2770.4040746770866,6523.4824
2770.4054636156266,6516.0825
2770.4068525541657,6528.79
2770.4082414922386,6523.1665
2770.4096304307786,6501.5884
2770.4110193688525,6523.591
2770.4124083073916,6526.706
2770.413797245932,6504.2554
2770.415186184006,6523.384
2770.416575122545,6517.1284
2770.4179640606194,6533.014
2770.419352999159,6525.7334
2770.420741937233,6509.5854
2770.422130875307,6531.1597
2770.4235198138463,6520.959
2770.4249087519206,6525.77
2770.426297689995,6525.218
2770.427686628534,6533.4023
2770.429075566608,6510.7817
2770.4304645046823,6517.009
2770.4318534427553,6540.807
2770.4332423812943,6529.031
2770.4346313193687,6511.226
2770.436020257442,6503.281
2770.4374091955165,6523.068
2770.438798133591,6516.6704
2770.4401870716642,6503.6143
2770.441576009738,6517.2363
2770.4429649478125,6514.846
2770.4443538858864,6504.0186
2770.4457428239602,6516.973
2770.4471317620346,6522.713
2770.448520700109,6533.425
2770.449909638183,6528.212
2770.451298575791,6525.482
2770.4526875138654,6517.607
2770.4540764519393,6524.62
2770.455465390012,6525.6562
2770.4568543276205,6500.103
2770.458243265694,6520.8657
2770.459632203768,6520.443
2770.4610211413765,6514.1304
2770.4624100794504,6513.47
2770.4637990175243,6500.9336
2770.465187955133,6509.3887
2770.466576893207,6519.328
2770.4679658308146,6513.0977
2770.469354768889,6507.949
2770.4707437064976,6526.0234
2770.472132644571,6502.171
2770.4735215821797,6517.6616
2770.474910519788,6529.685
2770.476299457862,6495.815
2770.4776883954705,6520.7925
2770.479077333078,6520.3574
2770.480466271151,6516.526
2770.4818552087595,6514.6377
2770.483244146368,6512.9253
2770.484633083976,6515.7715
2770.4860220215846,6526.9897
2770.487410959658,6520.538
2770.4887998972667,6520.5913
2770.4901888348754,6516.7954
2770.491577772483,6507.4014
2770.4929667100914,6536.4326
2770.4943556477006,6496.1
2770.4957445853083,6509.6284
2770.4971335229166,6519.3604
2770.4985224605252,6508.7695
2770.4999113981335,6499.0137
2770.5013003357412,6525.6772
2770.5026892733504,6518.573
2770.5040782109577,6524.264
2770.5054671480993,6519.861
2770.5068560857085,6507.7617
2770.508245023317,6520.6543
2770.509633960925,6509.5293
2770.511022898533,6527.9907
2770.5124118356766,6511.709
2770.5138007732844,6517.0933
2770.5151897108926,6519.4634
2770.5165786480356,6507.718
2770.517967585644,6526.927
2770.519356522786,6532.465
2770.520745460395,6524.182
2770.5221343975377,6515.245
2770.5235233351455,6519.5195
2770.524912272754,6520.2573
2770.526301209897,6515.23
2770.5276901470384,6517.0933
2770.5290790846466,6501.1797
2770.530468021789,6512.673
2770.531856959397,6523.568
2770.5332458965404,6519.6567
2770.534634833683,6507.6323
2770.5360237712907,6533.578
2770.5374127084337,6499.92
2770.5388016455763,6522.0874
2770.540190582719,6520.9077
2770.5415795203276,6511.653
2770.5429684574697,6521.2607
2770.5443573946127,6510.7656
2770.5457463317557,6514.191
2770.547135268898,6519.419
2770.5485242060404,6530.0645
2770.5499131431834,6505.8296
2770.5513020807907,6543.3105
2770.552691017933,6492.406
2770.554079955076,6514.971
2770.555468892218,6506.1387
2770.556857829361,6539.066
2770.5582467660383,6519.5273
2770.5596357031804,6507.2017
2770.561024640323,6504.89
2770.562413577466,6523.073
2770.5638025146086,6517.6655
2770.565191451751,6526.8677
2770.566580388894,6530.6646
2770.567969326037,6520.515
2770.569358262714,6527.3413
2770.5707471998567,6509.476
2770.5721361369997,6530.588
2770.5735250736766,6529.0186
2770.574914010818,6517.168
2770.576302947961,6504.104
2770.5776918846373,6519.892
2770.57908082178,6514.3135
2770.580469758923,6539.8687
2770.5818586955997,6511.704
2770.5832476327423,6518.3154
2770.5846365694197,6508.559
2770.5860255065622,6513.81
2770.5874144432387,6525.3813
2770.5888033803817,6520.3823
2770.590192317059,6523.1025
2770.591581254201,6517.132
2770.5929701908785,6515.9053
2770.5943591275554,6517.798
2770.595748064698,6528.3447
2770.5971370013754,6508.846
2770.598525938052,6514.849
2770.599914875194,6503.3296
2770.6013038118704,6539.703
2770.6026927485477,6521.7207
2770.604081685224,6523.586
2770.605470622367,6545.167
2770.6068595590436,6494.7397
2770.608248495721,6499.8574
2770.6096374323984,6520.2705
2770.611026369075,6524.146
2770.6124153057517,6514.5024
2770.6138042424295,6508.7983
2770.6151931795716,6493.718
2770.6165821162485,6527.8716
2770.617971052926,6511.8945
2770.619359989603,6517.3804
2770.6207489262797,6503.6943
2770.622137862957,6519.5747
2770.6235267991674,6498.919
2770.6249157358434,6513.698
2770.626304672521,6518.464
2770.6276936091986,6503.258
2770.629082545875,6540.7476
2770.630471482552,6518.5586
2770.6318604192297,6521.208
2770.6332493554405,6508.5156
2770.6346382921174,6521.086
2770.636027228795,6507.662
2770.6374161654717,6515.676
2770.638805102148,6502.257
2770.6401940383603,6506.206
2770.641582975037,6538.713
2770.6429719117136,6516.902
2770.6443608479253,6523.2173
2770.6457497846027,6524.207
2770.6471387208126,6532.9453
2770.6485276574895,6510.1904
2770.6499165941664,6507.501
2770.651305530377,6519.239
2770.652694467055,6528.1616
2770.654083403266,6516.9663
2770.6554723399427,6514.296
2770.6568612761544,6519.651
2770.6582502128313,6530.008
2770.6596391490425,6504.1035
2770.661028085254,6510.247
2770.6624170219307,6518.727
2770.6638059581423,6524.9487
2770.6651948948197,6501.221
2770.6665838310305,6528.8223
2770.6679727672417,6507.007
2770.6693617034534,6527.2036
2770.6707506401303,6523.1865
2770.672139576341,6516.7114
2770.673528512552,6496.957
2770.6749174487627,6535.8447
2770.67630638544,6529.333
2770.6776953216518,6520.7036
2770.6790842578625,6519.0376
2770.680473194074,6513.5596
2770.6818621302855,6500.309
2770.6832510664967,6514.099
2770.6846400031736,6549.118
2770.6860289393853,6513.5796
2770.687417875597,6517.956
2770.6888068118083,6523.098
2770.6901957480195,6511.4805
2770.691584684231,6523.0444
2770.6929736204424,6518.574
2770.6943625566532,6501.798
2770.6957514928645,6511.524
2770.697140428609,6504.4272
2770.6985293648204,6507.2876
2770.699918301032,6521.152
2770.7013072372433,6505.2305
2770.7026961734546,6507.149
2770.7040851096663,6518.1104
2770.7054740458775,6531.229
2770.7068629816226,6513.0195
2770.7082519178343,6530.349
2770.709640854046,6524.964
2770.711029790257,6505.439
2770.7124187264685,6509.4165
2770.713807662214,6542.4585
2770.7151965984253,6519.8193
2770.716585534637,6516.0576
2770.717974470382,6530.14
2770.719363406593,6514.343
2770.7207523428037,6507.593
2770.7221412785498,6507.659
2770.7235302147606,6524.2837
2770.7249191505066,6536.834
2770.726308086718,6528.1006
2770.7276970224634,6512.2666
2770.729085958675,6513.8896
2770.7304748944202,6504.4688
2770.7318638306315,6496.2334
2770.733252766378,6523.898
2770.7346417025888,6524.2275
2770.7360306383343,6516.8115
2770.737419574546,6514.2876
2770.7388085102916,6509.3623
2770.740197446037,6516.9585
2770.741586382249,6526.68
2770.7429753179945,6523.8345
2770.7443642537387,6509.2856
2770.7457531899504,6523.9785
2770.7471421256964,6502.8994
2770.7485310614416,6500.1567
2770.749919997653,6528.728
2770.7513089333993,6510.8027
2770.7526978691444,6505.785
2770.75408680489,6494.41
2770.7554757411017,6534.3784
2770.7568646768473,6540.0566
2770.7582536125924,6486.2866
2770.759642548339,6522.092
2770.7610314840845,6502.545
2770.7624204198296,6513.8516
2770.7638093555756,6507.211
2770.7651982913217,6493.6455
2770.7665872275325,6523.7295
2770.7679761632776,6525.2446
2770.7693650990227,6503.649
2770.770754034768,6517.984
2770.7721429705143,6497.7676
2770.77353190626,6526.216
2770.774920842005,6515.621
2770.776309777751,6519.7666
2770.777698713031,6546.5596
2770.7790876487766,6500.7075
2770.7804765845226,6504.125
2770.7818655202677,6504.4146
2770.7832544560138,6515.6113
2770.78464339176,6516.1143
2770.786032327505,6512.114
2770.7874212632505,6520.28
2770.788810198531,6506.332
2770.7901991342765,6516.124
2770.7915880700216,6531.95
2770.7929770057667,6504.915
2770.794365941046,6530.3916
2770.795754876792,6532.268
2770.7971438125383,6516.1045
2770.7985327482834,6496.058
2770.7999216835633,6506.018
2770.8013106193093,6504.185
2770.802699555056,6510.1416
2770.8040884903353,6512.7993
2770.805477426081,6517.7246
2770.8068663613612,6527.7935
2770.808255297107,6510.4126
2770.8096442328524,6518.1377
2770.811033168133,6496.4487
2770.8124221038784,6518.9395
2770.813811039158,6524.8896
2770.8151999749034,6519.1743
2770.8165889101824,6509.773
2770.817977845928,6517.286
2770.8193667812084,6506.7847
2770.820755716954,6511.834
2770.822144652234,6512.43
2770.8235335875142,6505.166
2770.82492252326,6523.4507
2770.8263114585393,6495.0923
2770.8277003942853,6513.05
2770.8290893295657,6491.599
2770.830478264845,6524.9487
2770.831867200591,6503.773
2770.833256135871,6506.1167
2770.834645071151,6521.6885
2770.836034006897,6511.0723
2770.8374229421765,6521.2715
2770.8388118774565,6512.9585
2770.8402008127364,6517.241
2770.8415897484815,6542.54
2770.842978683761,6502.983
2770.8443676190413,6506.4204
2770.8457565543213,6518.767
2770.847145489601,6550.4697
2770.8485344248816,6538.4688
2770.8499233606267,6505.6226
2770.8513122959066,6508.9863
2770.8527012311874,6519.3755
2770.854090166467,6508.6245
2770.855479101747,6517.058
2770.856868037027,6529.316
2770.858256972307,6512.7007
2770.859645907587,6515.1895
2770.8610348428674,6492.846
2770.862423778148,6507.4653
2770.863812713427,6529.077
2770.8652016487063,6514.148
2770.8665905839866,6526.4927
2770.867979519266,6503.0435
2770.869368454546,6522.8003
2770.870757389827,6513.3745
2770.8721463251063,6519.2017
2770.8735352603862,6519.601
2770.8749241956666,6510.781
2770.8763131309465,6530.455
2770.8777020657603,6506.7607
2770.879091001041,6523.373
2770.880479936321,6504.4966
2770.8818688716005,6489.2827
2770.883257806881,6531.073
2770.8846467416956,6513.8975
2770.886035676975,6519.762
2770.8874246122546,6506.9795
2770.888813547534,6504.8447
2770.890202482348,6516.6797
2770.8915914176287,6509.2275
2770.8929803529086,6519.547
2770.894369288188,6528.916
2770.8957582230028,6518.568
2770.8971471582827,6513.321
2770.8985360935626,6503.4404
2770.8999250283773,6490.0303
2770.901313963657,6522.6084
2770.9027028984715,6523.2075
2770.904091833752,6500.838
2770.9054807690313,6518.1294
2770.9068697038456,6504.683
2770.908258639126,6501.7803
2770.90964757394,6526.7764
2770.91103650922,6490.945
2770.9124254440344,6515.5723
2770.913814379313,6506.783
2770.9152033141277,6505.6533
2770.916592249408,6493.4473
2770.917981184222,6509.263
2770.9193701195018,6507.7495
2770.9207590543165,6513.08
2770.9221479891316,6511.683
2770.923536924411,6498.452
2770.9249258592254,6504.4443
2770.9263147945057,6519.7114
2770.92770372932,6531.7427
2770.9290926641343,6515.7847
2770.9304815994146,6510.057
2770.931870534229,6514.1123
2770.9332594690427,6507.6953
2770.934648404323,6514.1367
2770.936037339137,6532.067
2770.93742627395,6508.019
2770.938815208765,6515.5474
2770.940204144045,6493.0913
2770.941593078859,6531.7036
2770.942982013674,6503.0107
2770.944370948488,6507.2783
2770.9457598837676,6517.851
2770.9471488185823,6508.688
2770.948537753397,6506.375
2770.949926688211,6508.405
2770.9513156230255,6520.51
2770.9527045578398,6534.0527
2770.954093492654,6502.67
