time,flux
2607.940446369505,
2607.9418353015494,
2607.9432242340595,
2607.9446131665695,
2607.946002098615,
2607.947391031125,
2607.9487799636363,
2607.9501688961477,
2607.951557828192,
2607.952946760702,
2607.954335693213,
2607.955724625723,
2607.957113558234,
2607.9585024907446,
2607.9598914227886,
2607.9612803552986,
2607.9626692878096,
2607.96405822032,
2607.96544715283,
2607.9668360853407,
2607.9682250178516,
2607.9696139503612,
2607.9710028828717,
2607.9723918153827,
2607.9737807478937,
2607.9751696804037,
2607.9765586129147,
2607.977947545891,
2607.979336478401,
2607.9807254109114,
2607.9821143434224,
2607.9835032759324,
2607.9848922084425,
2607.986281141419,
2607.987670073929,
2607.98905900644,
2607.9904479389506,
2607.991836871926,
2607.993225804436,
2607.994614736947,
2607.996003669923,
2607.997392602433,
2607.9987815354093,
2608.926590513417,
2608.92797945105,
2608.9293683891487,
2608.930757326781,
2608.932146264879,
2608.9335352025123,
2608.9349241401455,
2608.936313078244,
2608.9377020158768,
2608.9390909539757,
2608.9404798916075,
2608.9418688292403,
2608.943257767339,
2608.9446467049715,
2608.9460356430704,
2608.947424580703,
2608.9488135188008,
2608.950202456433,
2608.951591394532,
2608.9529803321648,
2608.9543692702623,
2608.9557582078955,
2608.957147145994,
2608.9585360836263,
2608.9599250217257,
2608.9613139593594,
2608.962702897457,
2608.96409183509,
2608.9654807731886,
2608.9668697112866,
2608.968258648919,
2608.9696475870173,
2608.9710365246506,
2608.972425462748,
2608.9738144008465,
2608.97520333848,
2608.976592276578,
2608.9779812146767,
2608.979370152309,
2608.980759090407,
2608.982148028505,
2608.983536966138,
2608.984925904237,
2608.986314842336,
2608.9877037799683,
2608.9890927180672,
2608.9904816561652,
2608.9918705937985,
2608.993259531897,
2608.9946484699944,
2608.9960374080933,
2608.997426345726,
2608.998815283824,
2609.000204221922,
2609.0015931600205,
2609.002982097654,
2609.0043710357513,
2609.0057599738498,
2609.0071489119487,
2609.0085378500467,
2609.0099267876803,
2609.0113157257797,
2609.0127046638772,
2609.014093601975,
2609.0154825400737,
2609.0168714781726,
2609.018260415805,
2609.019649353903,
2609.021038292002,
2609.0224272300998,
2609.0238161681987,
2609.025205106297,
2609.0265940443946,
2609.0279829824926,
2609.0293719205915,
2609.03076085869,
2609.0321497963223,
2609.0335387344207,
2609.03492767252,
2609.0363166106185,
2609.0377055487174,
2609.039094486816,
2609.040483424914,
2609.0418723630123,
2609.043261301111,
2609.0446502392087,
2609.0460391773067,
2609.047428115405,
2609.048817053504,
2609.050205991602,
2609.0515949297,
2609.052983867799,
2609.054372805897,
2609.055761743996,
2609.0571506820943,
2609.058539620192,
2609.05992855829,
2609.061317496855,
2609.062706434954,
2609.064095373052,
2609.065484311151,
2609.066873249249,
2609.068262187347,
2609.069651125446,
2609.0710400635444,
2609.0724290016424,
2609.073817939741,
2609.0752068783054,
2609.076595816403,
2609.077984754501,
2609.0793736925993,
2609.0807626306982,
2609.0821515687962,
2609.083540506894,
2609.084929445459,
2609.0863183835577,
2609.0877073216566,
2609.0890962597555,
2609.0904851978535,
2609.0918741364167,
2609.093263074515,
2609.094652012614,
2609.096040950712,
2609.0974298892766,
2609.0988188273745,
2609.1002077654725,
2609.1015967035714,
2609.10298564167,
2609.1043745802335,
2609.105763518331,
2609.10715245643,
2609.108541394994,
2609.109930333092,
2609.1113192711914,
2609.1127082092908,
2609.114097147854,
2609.115486085953,
2609.1168750240513,
2609.118263962615,
2609.1196529007134,
2609.1210418388123,
2609.122430777376,
2609.1238197154735,
2609.125208653572,
2609.1265975921365,
2609.1279865302345,
2609.1293754683334,
2609.130764406897,
2609.132153344995,
2609.1335422835596,
2609.134931221658,
2609.1363201597565,
2609.137709098321,
2609.139098036419,
2609.1404869749836,
2609.1418759130815,
2609.1432648511804,
2609.1446537897446,
2609.146042727842,
2609.1474316664066,
2609.148820604505,
2609.1502095430687,
2609.1515984811667,
2609.152987419265,
2609.1543763578297,
2609.1557652959273,
2609.1571542344914,
2609.1585431725903,
2609.159932111154,
