time,flux
2882.333675223157,4880.513
2882.3339067091865,4931.3354
2882.3341381947507,4898.0757
2882.334369680315,4945.6987
2882.3346011658787,4919.5835
2882.3348326514433,4889.8667
2882.335064137007,4928.1797
2882.3352956225713,4877.845
2882.335527108601,4844.6626
2882.3357585941653,4926.7915
2882.3359900797295,4913.748
2882.3362215652933,4923.826
2882.336453050858,4928.945
2882.3366845364208,4918.7056
2882.336916022451,4916.567
2882.337147508015,4845.2305
2882.337378993579,4908.1553
2882.337610479143,4878.2266
2882.3378419647074,4901.3867
2882.3380734502716,4896.3022
2882.3383049358354,4944.905
2882.3385364218657,4927.4517
2882.3387679074294,4905.9204
2882.3389993929936,4882.38
2882.339230878558,4914.737
2882.3394623641216,4920.7324
2882.3396938496867,4875.627
2882.3399253357175,4952.608
2882.340156821281,4922.318
2882.3403883068454,4903.637
2882.3406197924096,4933.596
2882.3408512779733,4897.3804
2882.341082763538,4909.2046
2882.3413142491017,4896.1914
2882.3415457351316,4888.1587
2882.341777220696,4923.931
2882.34200870626,4934.1807
2882.342240191824,4883.5347
2882.342471677388,4851.6997
2882.3427031629526,4933.0293
2882.342934648982,4855.745
2882.343166134546,4890.402
2882.3433976201095,4902.9746
2882.3436291056737,4898.599
2882.343860591238,4854.88
2882.344092076802,4859.187
2882.3443235623663,4917.3555
2882.3445550483957,4895.9634
2882.3447865339604,4948.949
2882.345018019524,4903.01
2882.3452495050883,4969.164
2882.3454809906525,4939.24
2882.3457124762162,4880.984
2882.3459439622466,4904.2217
2882.3461754478103,4932.2812
2882.3464069333745,4868.5415
2882.3466384189387,4958.1167
2882.346869904503,4870.137
2882.347101390067,4907.5938
2882.3473328760965,4917.1475
2882.347564361661,4909.588
2882.347795847225,4871.66
2882.348027332789,4904.3477
2882.3482588183533,4873.008
2882.348490303917,4890.214
2882.3487217899474,4866.687
2882.348953275511,4870.699
2882.3491847610753,4877.1646
2882.3494162466395,4909.657
2882.3496477322033,4901.0605
2882.349879217767,4902.447
2882.3501107037973,4881.1875
2882.3503421893624,4943.1235
2882.3505736749266,4860.2046
2882.3508051604904,4879.918
2882.351036646055,4903.3193
2882.351268131619,4945.281
2882.351499617183,4933.3755
2882.351731103213,4878.151
2882.3519625887766,4866.178
2882.3521940743412,4894.824
2882.352425559905,4869.8306
2882.352657045469,4862.32
2882.352888531499,4912.2305
2882.3531200170632,4887.5938
2882.3533515026274,4897.223
2882.353582988191,4881.317
2882.353814473756,4879.0854
2882.3540459593196,4903.499
2882.3542774453495,4899.8057
2882.3545089309137,4901.4585
2882.3547404164774,4896.208
2882.354971902042,4976.708
2882.355203387606,4907.491
2882.35543487317,4872.6357
2882.3556663592,4865.946
2882.355897844764,4873.568
2882.3561293303283,4878.102
2882.3563608158915,4964.346
2882.3565923014557,4892.3037
2882.3568237870195,4929.2876
2882.35705527305,4915.5225
2882.3572867586136,4946.2593
2882.3575182441778,4905.661
2882.357749729742,4906.2515
2882.357981215306,4898.141
2882.3582127008704,4912.022
2882.3584441868998,4921.3926
2882.3586756724644,4896.4043
2882.358907158028,4926.58
2882.3591386435924,4929.2056
2882.3593701291566,4933.438
2882.3596016147203,4919.475
2882.3598331007506,4857.58
2882.3600645863144,4903.028
2882.360296071879,4943.3345
2882.360527557444,4905.1577
2882.3607590430083,4932.8125
2882.360990528572,4895.9746
2882.3612220146024,4862.6274
2882.361453500166,4905.846
2882.3616849857303,4883.9053
2882.3619164712945,4927.9287
2882.3621479568587,4887.838
2882.3623794428886,4894.692
2882.3626109284523,4909.518
2882.362842414017,4842.242
2882.36307389958,4909.8657
2882.3633053851445,4911.5312
2882.3635368707082,4869.196
2882.363768356738,4879.929
2882.3639998423023,4904.6157
2882.3642313278665,4848.924
2882.3644628134307,4941.5283
2882.3646942989944,4880.197
2882.364925784559,4960.4946
2882.3651572705885,4916.339
2882.3653887561527,4905.3877
